,Tweet ID,Time,User,Tweet
0,1592881085917974530,2022-11-16 14:03:39+00:00,BlockchainBeavr,"If you found this valuable... like it, share it and follow @bockchainbeavr &amp; @SolidMrO  for a lot more information… https://t.co/WKK2QHChJJ"
1,1592881085754798081,2022-11-16 14:03:39+00:00,Anthony,Cryptocurrency lender Genesis told clients that it is suspending redemptions and new loan originations following th… https://t.co/kr8gyZ3SKV
2,1592881084966252544,2022-11-16 14:03:39+00:00,ExchangeWhales,"🚀 🚀 🚀 $1,540,855 ETHUSDT LONGED @$1,210.00 on #Binance (14:03:39 UTC) #ETH #cryptocurrency"
3,1592881079329132544,2022-11-16 14:03:38+00:00,BlockchainBeavr,"Once a miner is the first to find the value, they broadcast it to the network🥇

The process requires that a majorit… https://t.co/TN1oHpqHSR"
4,1592881075654922242,2022-11-16 14:03:37+00:00,Monkey185541321,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
5,1592881075264815104,2022-11-16 14:03:37+00:00,misfewins,"RT @fristiinu: 🍓🥛#Memecontest

1. Create original memes with FRISTI / Strawberry / Milk
2. Tweet your meme 1 by 1 with #MEMES #Meme #memeco…"
6,1592881073880694785,2022-11-16 14:03:36+00:00,Cassieopeiai,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
7,1592881067567947777,2022-11-16 14:03:35+00:00,BadassbabyBegum,This is an amazing space!  is the perfect solution for a secure and scalable blockchain platform!  #crypto  #XANA… https://t.co/6E4ylOCqJn
8,1592881065550819328,2022-11-16 14:03:34+00:00,anilsangwan786,"RT @ksntoken: Paying using cards, cryptocurrency, wallets, etc. is possible on the KSN Token platform. you can also purchase this n for tok…"
9,1592881060677029888,2022-11-16 14:03:33+00:00,milkyjklare,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
10,1592881060232450054,2022-11-16 14:03:33+00:00,cornwngsklee_,"RT @hyemishil: GIVEAWAY $30| 450.000 IDR | PHP 💗🎠

🎠 RT
🎠 Like
🎠 Follow @TattooworldNft 

End 36 Hours
•••••••••••••••••
Via @sweenpi • [Hy…"
11,1592881057481003008,2022-11-16 14:03:33+00:00,Zellylemon,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
12,1592881055987806208,2022-11-16 14:03:32+00:00,Babcosta4,Come and get your own $10 000 Remint Giveaway and 10 lucky winners: https://t.co/xOa5u6kwRb. #remint #giveaway… https://t.co/0Pehn6bUzn
13,1592881054960214016,2022-11-16 14:03:32+00:00,lijinze81757378,The Federal Reserve and a group of private banks are developing a digital dollar pilot.#cryptocurrency https://t.co/7NOANJgrdR
14,1592881051726381057,2022-11-16 14:03:31+00:00,anilsangwan786,RT @ksntoken: You can exchange your KSN Token for real money on KSN. The KSN cryptocurrency serves as the foundation of an operating system…
15,1592881048639385602,2022-11-16 14:03:30+00:00,lawyer4laws,"RT @unusual_whales: “It’s partly fraud and partly delusion,” Charlie Munger, vice chairman of Berkshire Hathaway said on CNBC of cryptocurr…"
16,1592881048182206465,2022-11-16 14:03:30+00:00,0xEthereumYoda,"#Ethereum price update: 

#ETH $1212.09 USD
#Bitcoin 0.07339598980041043 #BTC

Follow for recent ETH price updates… https://t.co/mqt20GsWSK"
17,1592881044797403136,2022-11-16 14:03:30+00:00,Gang102Gucci,RT @ZinniaNetwork: What's YOUR most important reason for being interested in #cryptocurrency?
18,1592881044562509824,2022-11-16 14:03:29+00:00,idiocraciado,"RT @KimDotcom: Binance lemmings in the replies:

It's not banned in the UK!
It is: https://t.co/UGxQ2vvSMB

It's not being investigated!
It…"
19,1592881041425174529,2022-11-16 14:03:29+00:00,ainexwins,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
20,1592881037704835075,2022-11-16 14:03:28+00:00,electricboyo,"RT @duty2warn: The 150,000 accounts that bought blue check marks “were often accounts promoting right-wing politics, cryptocurrency specula…"
21,1592881036278763521,2022-11-16 14:03:28+00:00,IrmaVictoriate1,Dale Bessemer Ada Yule #cryptocurrency Yale Roland Duke Marion  #竞彩篮球 #亚博 #篮球 #八戒体育 #亚博体育 #电竞 Elijah Augustus Athen… https://t.co/7wnRcWNrqf
22,1592881029097848832,2022-11-16 14:03:26+00:00,SandyBuss3,"RT @XANAMetaverse: 👉XANA World: HALLWAY

👉Explore this fantastic underground space in the XANA #metaverse. The ""Hallway"" is a hidden and di…"
23,1592881026615107584,2022-11-16 14:03:25+00:00,wintodaey,"RT @fristiinu: 🍓🥛#Memecontest

1. Create original memes with FRISTI / Strawberry / Milk
2. Tweet your meme 1 by 1 with #MEMES #Meme #memeco…"
24,1592881014694895624,2022-11-16 14:03:22+00:00,whitebull98,"RT @QuaiNetwork: Quai Network utilizes merged-mining to secure multiple blockchains at once🔒

This creates more block space and allows for…"
25,1592881005631016961,2022-11-16 14:03:20+00:00,BitcoinCensus,@chetan_bhagat You are wrong. And you had four years to read my article before you embarrassed yourself https://t.co/PXikVL0IVk
26,1592881003269615616,2022-11-16 14:03:20+00:00,tarokbarrera,"RT @MetaBeatOffl: 🚨ITS HERE!🚨 $BEAT is officially listed on @kucoincom! We are truly heading TO THE MOON 🚀 

Check out $BEAT's trading here…"
